库存SKU英文名称,库存SKU,库存总量
"Luxurious Night Bowknot Pleated A-Line Skirt",B20180103009XS,4
"Prairie Grid Rabato Coat in Black",T20180104002XXXL,21
"Eternal Sweet Cross Breast Off-Shoulder Jumpsuit in Black",D20180116020M,1
"Eternal Sweet Cross Breast Off-Shoulder Jumpsuit in Wine",D20180116021M,2
"Lacy Sweet Dots Tights in Black",20110822011Onesize,1
"Flower Lullaby Maxi Slip Dress",D20150616018S,8
"My Secret Garden Tulle Maxi Skirt in Grey",B20171213016L/XL,75
"Gracefulness Bowknot Jumpsuit in Caramel",D180417019M,1
"Silkiness Sweetheart Cami Dress in Black",D180419002S,1
"Your Sassy Start Sleeveless Crochet Lace Top in White",T20170614012XS,5
"Sunflower Blossom Watercolor Chiffon Maxi Slip Dress",D180519017L,8
"Sunflower Blossom Watercolor Chiffon Maxi Slip Dress",D180519017M,4
"Sunflower Blossom Watercolor Chiffon Maxi Slip Dress",D180519017S,7
"Sunflower Blossom Watercolor Chiffon Maxi Slip Dress",D180519017XL,8
"Flower Season Chiffon Maxi Slip Dress in Yellow",D180519018XL,6
"Flower Season Chiffon Maxi Slip Dress in Yellow",D180519018L,2
"Flower Season Chiffon Maxi Slip Dress in Yellow",D180519018M,3
"Flower Season Chiffon Maxi Slip Dress in Yellow",D180519018S,8
"My Secret Garden Tulle Maxi Skirt in Cream",B20171213017L/XL,13
"My Secret Garden Tulle Maxi Skirt in Black",B20171213014L/XL,22
"Flower Lullaby Maxi Slip Dress",D20150616018L,4
"Marvelous Floral Chiffon Maxi Dress in Blue",D20150616017XS,1
"Paint in Grace Watercolor Maxi Dress",D20160405011XS,4
"Floral Watercolor Maxi Slip Dress in Violet",D20160510024XS,3
"Flower Season Chiffon Maxi Slip Dress in Yellow",D180519018XS,4
"Mysterious Purple Floral Maxi Slip Dress",D20160608022XS,2
"Sunflower Blossom Watercolor Chiffon Maxi Slip Dress",D180519017XS,3
"Pink Rose Panache Maxi Slip Dress",D20150616019XS,3
"Marvelous Floral Chiffon Maxi Dress in Yellow",D20150616016XS,7
,T20171102011L/XL,3
,T20171102010L/XL,4
,T180714020M-L,3
,T180714020XS-S,2
,T180714021M-L,3
,T180714021XS-S,6
,T180714022M-L,4
,T180714023M-L,5
,T180714023XS-S,3
"Cuteness on Sleeves Chunky Cardigan in Caramel",T180717021L-XL,4
"Cuteness on Sleeves Chunky Cardigan in Caramel",T180717021S-M,3
,T180717022L-XL,3
,T180717022S-M,5
,T180717023L-XL,1
,T180717023S-M,4
"Sweet Knot Bustier Top in Cream",T180718002M,1
"Sweet Knot Bustier Top in Black",T180718001M,1
,T180718001L,2
,T180718002S,5
,T20170831043XXS-XS,2
,T20170831042XXS-XS,16
,T20170831042L-XL,6
,T20170831042XXL-XXXL,7
"All-Over Warmth Hooded Chunky Cardigan in Grey",T180726024L-XL,1
"All-Over Warmth Hooded Chunky Cardigan in Grey",T180726024S-M,3
,T180726025L-XL,4
,T180726025S-M,7
"Love Me More Layered Tulle Skirt in Black",B180727001XS-S,26
"Love Me More Layered Tulle Skirt in Black",B180727001M-L,39
,B180731002S-M,5
,B180731012S-M,1
"Shinning Pearls Trimming Chiffon Shorts in Cream",B180731013S-M,1
"My Chic Faux Fur Coat in Tan For Kids",T1808110234-5Y(100cm),1
"Grid Round Neck Sweater",T180814020L-XL,4
"Lovely Pearls Pussy-Bow Lace Dress in Black",D180818012XXS,1
"Knit Your Love V-Neck Sweater in White",T180823012S-M,4
"Knit Your Love V-Neck Sweater in White",T180823012XXL-XXXL,3
"Knit Your Love V-Neck Sweater in Pink",T180823013L-XL,3
"Knit Your Love V-Neck Sweater in Pink",T180823013XXL-XXXL,2
"Knit Your Love V-Neck Sweater in Lavender",T180823014S-M,5
"Knit Your Love V-Neck Sweater in Lavender",T180823014XXL-XXXL,1
"Knit Your Love V-Neck Sweater in Tan",T180823015S-M,3
"Knit Your Love V-Neck Sweater in Tan",T180823015L-XL,4
